;;;;;;;FDTR:IND;Fed Reserve Target;;NDF Index;NDF Index
;;;;;;;PRIME:IND;Prime Rate;;RAY Index;RAY Index
;;;;;;;BVMB1Y:IND;Muni Bonds 1 Year;;IXK Index;IXK Index
;;;;;;;BVMB2Y:IND;Muni Bonds 2 Year;;MID Index;MID Index
;;;;;;;BVMB5Y:IND;Muni Bonds 5 Year;;CIND Index;CIND Index
;;;;;;;BVMB10Y:IND;Muni Bonds 10 Year;;BSX Index;BSX Index
;;;;;;;BVMB30Y:IND;Muni Bonds 30 Year;;BURCAP Index;BURCAP Index
;;;;;;;UK Gov;;;MERVAL Index;MERVAL Index
;;;;;;;GTGBP2Y:GOV;UK Gilt 2 Year Yield;;SPBL25PT Index;SPBL25PT Index
;;;;;;;GTGBP5Y:GOV;UK Gilt 5 Year Yield;;SPBLPGPT Index;SPBLPGPT Index
;;;;;;;GTGBP10Y:GOV;UK Gilt 10 Year Yield;;IBX Index;IBX Index
;;;;;;;GTGBP30Y:GOV;UK Gilt 30 Year Yield;;IBOV Index;IBOV Index
;;;;;;;UKBRBASE:IND;Official Bank Rate;;INMEX Index;INMEX Index
;;;;;;;UKAPTARG:IND;Asset Purchase Program Target (Billions of GBP);;MEXBOL Index;MEXBOL Index
;;;;;;;Germany;;;SPTSX60 Index;SPTSX60 Index
;;;;;;;GTDEM2Y:GOV;Germany Bund 2 Year Yield;;SPTSX Index;SPTSX Index
;;;;;;;GTDEM5Y:GOV;Germany Bund 5 Year Yield;;IGPA Index;IGPA Index
;;;;;;;GTDEM10Y:GOV;Germany Bund 10 Year Yield;;IPSA Index;IPSA Index
;;;;;;;GTDEM30Y:GOV;Germany Bund 30 Year Yield;;IBVC Index;IBVC Index
;;;;;;;EURR002W:IND;Main Refinancing Rate;;CRSMBCT Index;CRSMBCT Index
;;;;;;;EBBSLONG:IND;ECB Balance Sheet (Billions of Euros);;BVPSBVPS Index;BVPSBVPS Index
;;;;;;;Japan ;;;JMSMX Index;JMSMX Index
;;;;;;;GTJPY2Y:GOV;JGB 2 Year Yield;;COLCAP Index;COLCAP Index
;;;;;;;GTJPY5Y:GOV;JGB 5 Year Yield;;SPEURO Index;SPEURO Index
;;;;;;;GTJPY10Y:GOV;JGB 10 Year Yield;;BE500 Index;BE500 Index
;;;;;;;GTJPY20Y:GOV;JGB 20 Year Yield;;SXXP Index;SXXP Index
;;;;;;;GTJPY30Y:GOV;JGB 30 Year Yield;;SX5E Index;SX5E Index
;;;;;;;BOJDTR:IND;Target Rate;;SPEU Index;SPEU Index
;;;;;;;BJACTOTL:IND;Bank of Japan Assets: Total (Billions of JPY);;AXX Index;AXX Index
;;;;;;;Australia;;;UKX Index;UKX Index
;;;;;;;GTAUD2Y:GOV;Australia Bond 2 Year Yield;;ASX Index;ASX Index
;;;;;;;GTAUD5Y:GOV;Australia Bond 5 Year Yield;;KAX Index;KAX Index
;;;;;;;GTAUD10Y:GOV;Australia Bond 10 Year Yield;;KFX Index;KFX Index
;;;;;;;GTAUD15Y:GOV;Australia Bond 15 Year Yield;;OMXC25 Index;OMXC25 Index
;;;;;;;RBATCTR:IND;RBA Cash Rate Target;;WIG20 Index;WIG20 Index
;;;;;;;;;;WIG Index;WIG Index
;;;;;;;;;;WIG30 Index;WIG30 Index
;;;;;;;;;;SBF250 Index;SBF250 Index
;;;;;;;;;;CAC Index;CAC Index
;;;;;;;;;;XU100 Index;XU100 Index
;;;;;;;;;;XU030 Index;XU030 Index
;;;;;;;;;;BHSEEI Index;BHSEEI Index
;;;;;;;;;;BHSEASI Index;BHSEASI Index
;;;;;;;;;;HDAX Index;HDAX Index
;;;;;;;;;;DAX Index;DAX Index
;;;;;;;;;;DFMGI Index;DFMGI Index
;;;;;;;;;;ADSMI Index;ADSMI Index
;;;;;;;;;;IMOEX Index;IMOEX Index
;;;;;;;;;;RTSI$ Index;RTSI$ Index
;;;;;;;;;;ASE Index;ASE Index
;;;;;;;;;;FTASE Index;FTASE Index
;;;;;;;;;;TOP40 Index;TOP40 Index
;;;;;;;;;;JALSH Index;JALSH Index
;;;;;;;;;;HEX Index;HEX Index
;;;;;;;;;;HEX25 Index;HEX25 Index
;;;;;;;;;;PFTS Index;PFTS Index
;;;;;;;;;;UX Index;UX Index
;;;;;;;;;;SPI Index;SPI Index
;;;;;;;;;;SMI Index;SMI Index
;;;;;;;;;;NSEASI Index;NSEASI Index
;;;;;;;;;;KNSMIDX Index;KNSMIDX Index
;;;;;;;;;;KWSEPM Index;KWSEPM Index
;;;;;;;;;;KWSEMM Index;KWSEMM Index
;;;;;;;;;;BELEX15 Index;BELEX15 Index
;;;;;;;;;;BELEXLIN Index;BELEXLIN Index
;;;;;;;;;;OSEBX Index;OSEBX Index
;;;;;;;;;;OSEAX Index;OSEAX Index
;;;;;;;;;;BUX Index;BUX Index
;;;;;;;;;;CHTX Index;CHTX Index
;;;;;;;;;;IBEX Index;IBEX Index
;;;;;;;;;;MADX Index;MADX Index
;;;;;;;;;;AEX Index;AEX Index
;;;;;;;;;;AMX Index;AMX Index
;;;;;;;;;;ITLMS Index;ITLMS Index
;;;;;;;;;;FTSEMIB Index;FTSEMIB Index
;;;;;;;;;;SASX10 Index;SASX10 Index
;;;;;;;;;;BIRS Index;BIRS Index
;;;;;;;;;;BEL20 Index;BEL20 Index
;;;;;;;;;;BELPRC Index;BELPRC Index
;;;;;;;;;;LUXXX Index;LUXXX Index
;;;;;;;;;;LUXXR Index;LUXXR Index
;;;;;;;;;;PSI20 Index;PSI20 Index
;;;;;;;;;;BVLX Index;BVLX Index
;;;;;;;;;;TA-35 Index;TA-35 Index
;;;;;;;;;;TA-125 Index;TA-125 Index
;;;;;;;;;;MBI Index;MBI Index
;;;;;;;;;;MBIDM Index;MBIDM Index
;;;;;;;;;;ATX Index;ATX Index
;;;;;;;;;;ATXPRIME Index;ATXPRIME Index
;;;;;;;;;;OMX Index;OMX Index
;;;;;;;;;;SBX Index;SBX Index
;;;;;;;;;;TUSISE Index;TUSISE Index
;;;;;;;;;;MONEX Index;MONEX Index
;;;;;;;;;;SASEIDX Index;SASEIDX Index
;;;;;;;;;;BGSMDC Index;BGSMDC Index
;;;;;;;;;;DSM Index;DSM Index
;;;;;;;;;;JOSMGNFF Index;JOSMGNFF Index
;;;;;;;;;;SBITOP Index;SBITOP Index
;;;;;;;;;;PASISI Index;PASISI Index
;;;;;;;;;;NGXINDX Index;NGXINDX Index
;;;;;;;;;;ICEXI Index;ICEXI Index
;;;;;;;;;;FTN098 Index;FTN098 Index
;;;;;;;;;;CYSMMAPA Index;CYSMMAPA Index
;;;;;;;;;;BLOM Index;BLOM Index
;;;;;;;;;;MSM30 Index;MSM30 Index
;;;;;;;;;;SEMDEX Index;SEMDEX Index
;;;;;;;;;;ISEQ Index;ISEQ Index
;;;;;;;;;;SKSM Index;SKSM Index
;;;;;;;;;;CRO Index;CRO Index
;;;;;;;;;;MOSENEW Index;MOSENEW Index
;;;;;;;;;;DARSDSEI Index;DARSDSEI Index
;;;;;;;;;;SOFIX Index;SOFIX Index
;;;;;;;;;;MALTEX Index;MALTEX Index
;;;;;;;;;;RIGSE Index;RIGSE Index
;;;;;;;;;;TALSE Index;TALSE Index
;;;;;;;;;;BWORLDEU Index;BWORLDEU Index
;;;;;;;;;;KZKAK Index;KZKAK Index
;;;;;;;;;;BET Index;BET Index
;;;;;;;;;;VILSE Index;VILSE Index
;;;;;;;;;;GGSECI Index;GGSECI Index
;;;;;;;;;;PX Index;PX Index
;;;;;;;;;;TPX500 Index;TPX500 Index
;;;;;;;;;;TPX100 Index;TPX100 Index
;;;;;;;;;;NKY Index;NKY Index
;;;;;;;;;;NKY500 Index;NKY500 Index
;;;;;;;;;;TPX Index;TPX Index
;;;;;;;;;;NEY Index;NEY Index
;;;;;;;;;;TSEREIT Index;TSEREIT Index
;;;;;;;;;;JSDA Index;JSDA Index
;;;;;;;;;;TPXC30 Index;TPXC30 Index
;;;;;;;;;;TSEMOTHR Index;TSEMOTHR Index
;;;;;;;;;;TPXSM Index;TPXSM Index
;;;;;;;;;;TPXM400 Index;TPXM400 Index
;;;;;;;;;;NKYJQ Index;NKYJQ Index
;;;;;;;;;;TSE2 Index;TSE2 Index
;;;;;;;;;;TPXL70 Index;TPXL70 Index
;;;;;;;;;;SHCOMP Index;SHCOMP Index
;;;;;;;;;;SHASHR Index;SHASHR Index
;;;;;;;;;;SZASHR Index;SZASHR Index
;;;;;;;;;;SICOM Index;SICOM Index
;;;;;;;;;;SHBSHR Index;SHBSHR Index
;;;;;;;;;;SZBSHR Index;SZBSHR Index
;;;;;;;;;;SSE50 Index;SSE50 Index
;;;;;;;;;;SSE180 Index;SSE180 Index
;;;;;;;;;;SHNCOMP Index;SHNCOMP Index
;;;;;;;;;;SZ399006 Index;SZ399006 Index
;;;;;;;;;;SHSZ300 Index;SHSZ300 Index
;;;;;;;;;;SZCOMP Index;SZCOMP Index
